state,lga,report_date,children_targeted,children_vaccinated,vaccination_team,campaign_phase,vaccination_coverage_pct
Ekiti,Ekiti South-East,2025-06-18,178.0,341.0,Team D,Follow-up,191.6
Ekiti,Irepodun/Ifelodun,2025-06-07,194.0,396.0,Team D,Initial,204.1
Ekiti,Ido-Osi,2025-06-23,184.0,461.0,Team D,Follow-up,250.5
Ekiti,Ekiti West,2025-06-01,299.0,528.0,Team B,Follow-up,176.6
Ekiti,Ikole,2025-06-02,98.0,433.0,Team C,Follow-up,441.8
Ekiti,Ikole,2025-07-02,496.0,159.0,Team E,Initial,32.1
Ekiti,Ekiti East,2025-06-04,336.0,422.0,Team B,Follow-up,125.6
Ekiti,Ekiti East,2025-06-21,325.0,72.0,Team D,Initial,22.2
Ekiti,Ise/Orun,2025-06-01,151.0,518.0,Team D,Initial,343.0
Ekiti,Ido-Osi,2025-06-30,92.0,50.0,Team E,Follow-up,54.3
Ekiti,Ekiti South-West,2025-06-11,526.0,67.0,Team D,Initial,12.7
Ekiti,Ekiti East,2025-05-31,381.0,560.0,Team D,Initial,147.0
Ekiti,Gbonyin,2025-06-03,401.0,497.0,Team B,Initial,123.9
Ekiti,Ido-Osi,2025-06-25,344.0,177.0,Team E,Initial,51.5
Ekiti,Ekiti South-West,2025-06-24,331.0,520.0,Team E,Initial,157.1
Ekiti,Emure,2025-06-02,213.0,,Team A,Follow-up,263.8
Ekiti,Emure,2025-06-13,72.0,62.0,Team E,Initial,86.1
Ekiti,Gbonyin,2025-06-03,67.0,305.0,Team D,Follow-up,455.2
Ekiti,Ekiti East,2025-06-25,437.0,415.0,Team A,Initial,95.0
Ekiti,Ekiti West,2025-06-01,75.0,161.0,Team E,Follow-up,214.7
Ekiti,Irepodun/Ifelodun,2025-06-05,184.0,494.0,Team E,Follow-up,268.5
Ekiti,Ado-Ekiti,2025-06-12,,452.0,Team A,Initial,120.2
Ekiti,Ekiti South-East,2025-06-01,488.0,525.0,Team D,Initial,107.6
Ekiti,Ekiti East,2025-06-23,382.0,177.0,Team E,Initial,46.3
Ekiti,Ise/Orun,2025-06-01,296.0,85.0,Team C,Follow-up,28.7
Ekiti,Ado-Ekiti,2025-06-12,252.0,122.0,Team A,Initial,48.4
Ekiti,Moba,2025-05-31,337.0,522.0,Team C,Initial,154.9
Ekiti,Ekiti East,2025-06-06,363.0,206.0,Team D,Initial,56.7
Ekiti,Emure,2025-06-16,420.0,243.0,Team C,Initial,57.9
Ekiti,Ekiti West,2025-06-24,447.0,534.0,Team B,Initial,119.5
Ekiti,Ikole,2025-06-07,315.0,339.0,Team C,Initial,107.6
Ekiti,Ise/Orun,2025-07-02,322.0,294.0,Team D,Follow-up,91.3
Ekiti,Ise/Orun,2025-06-05,251.0,129.0,Team C,Initial,51.4
Ekiti,Ekiti South-East,2025-06-17,127.0,356.0,Team D,Follow-up,280.3
Ekiti,Ijero,2025-06-09,272.0,66.0,Team A,Initial,24.3
Ekiti,Gbonyin,2025-06-04,316.0,78.0,Team E,Follow-up,108.54312549737215
Ekiti,Gbonyin,2025-06-10,178.0,158.0,Team D,Initial,88.8
Ekiti,Ekiti East,2025-06-21,442.0,474.0,Team E,Follow-up,107.2
Ekiti,Ijero,2025-06-04,339.0,161.0,Team A,Initial,47.5
Ekiti,Ado-Ekiti,2025-06-02,396.0,103.0,Team A,Initial,
Ekiti,Moba,2025-06-01,155.0,122.0,Team C,Initial,78.7
Ekiti,Efon,2025-06-11,410.0,183.0,Team C,Initial,44.6
Ekiti,Ado-Ekiti,2025-06-29,407.0,87.0,Team B,Initial,21.4
Ekiti,Oye,2025-07-02,452.0,465.0,Team D,Follow-up,102.9
